Date,Close/Last,Volume,Open,High,Low
10/20/2023,354.60,72559720,359.46,360.04,354.37
10/19/2023,359.97,72274240,364.81,366.02,359.16
10/18/2023,363.37,54280490,365.67,367.91,362.02
10/17/2023,368.20,50999100,365.81,369.92,363.66
10/16/2023,369.41,44201060,366.62,370.48,366.47
10/13/2023,365.28,52519880,370.57,371.16,363.86
10/12/2023,369.93,49587940,371.73,373.74,367.50
10/11/2023,371.22,38215090,369.94,371.412,368.19
10/10/2023,368.59,46968810,366.90,371.28,366.39
10/09/2023,366.56,45304770,362.30,367.11,360.78
10/06/2023,364.70,75049120,355.65,365.91,354.85
10/05/2023,358.69,45897390,359.74,360.15,355.14
10/04/2023,359.75,54786690,355.77,360.61,355.30
10/03/2023,354.92,60478490,358.78,361.01,353.275
10/02/2023,361.26,51625050,358.54,362.68,357.92
09/29/2023,358.27,64829620,361.54,362.95,357.02
09/28/2023,358.01,56453310,354.11,360.17,353.24
09/27/2023,355.04,56065970,355.38,356.98,351.36
09/26/2023,354.21,53657750,356.99,357.54,353.2101
09/25/2023,359.61,39167990,356.93,359.70,355.93
09/22/2023,357.91,51589690,359.63,361.80,357.59
09/21/2023,357.86,69734850,360.80,361.60,357.69
09/20/2023,364.54,45514190,370.95,371.31,364.46
09/19/2023,369.87,37621730,369.32,370.6826,366.80
09/18/2023,370.66,36903550,369.32,371.79,369.03
09/15/2023,370.81,69811210,375.91,376.32,369.86
09/14/2023,377.27,48039390,375.99,378.27,373.89
09/13/2023,374.21,46300680,373.03,375.84,371.88
09/12/2023,372.79,41391020,375.27,376.9517,372.50
09/11/2023,376.97,39936630,375.66,377.49,373.66
09/08/2023,372.58,35847360,372.01,374.85,371.60
09/07/2023,372.06,52060720,370.21,372.85,369.15
09/06/2023,374.74,42998740,377.28,377.63,372.70
09/05/2023,378.07,32344220,376.77,379.3093,375.83
09/01/2023,377.59,39801180,380.40,380.83,376.0801
08/31/2023,377.99,35730700,376.94,379.719,376.87
08/30/2023,376.86,41731510,374.88,377.4467,373.86
08/29/2023,374.77,58492370,366.56,375.13,366.231
08/28/2023,366.76,40910020,366.99,367.71,364.25
08/25/2023,364.02,69960470,362.07,365.74,358.58
08/24/2023,361.22,66842490,372.64,372.74,361.01
08/23/2023,369.11,51770600,364.58,370.22,364.36
08/22/2023,363.38,44613510,366.55,366.56,362.68
08/21/2023,363.90,50696520,359.62,364.59,359.15
08/18/2023,358.13,61191390,355.26,359.41,354.71
08/17/2023,358.58,62604340,363.96,364.31,358.16
08/16/2023,362.54,53190530,365.87,367.43,362.44
08/15/2023,366.42,45539890,369.36,370.169,365.74
08/14/2023,370.35,42130800,365.43,370.47,364.70
08/11/2023,366.24,48707190,365.99,368.00,364.69
08/10/2023,368.59,72035270,370.97,374.36,367.035
08/09/2023,367.91,51150900,372.29,372.45,367.14
08/08/2023,372.00,44726450,372.64,372.66,368.82
08/07/2023,375.19,37230440,373.88,375.29,371.51
08/04/2023,372.04,61702760,375.75,378.10,371.53
08/03/2023,373.79,47855380,371.94,375.95,371.77
08/02/2023,374.39,72687110,379.26,379.26,373.13
08/01/2023,382.79,41308460,382.31,383.56,380.69
07/31/2023,383.68,44019910,383.79,384.88,382.34
07/28/2023,383.48,56902930,380.74,384.52,380.22
07/27/2023,376.62,63940230,383.07,384.71,375.31
07/26/2023,377.52,47075710,377.72,379.24,375.18
07/25/2023,378.78,38894380,376.95,380.47,376.93
07/24/2023,376.23,40380060,376.62,377.58,374.34
07/21/2023,375.63,60499640,379.18,379.92,375.191
07/20/2023,376.76,71941670,382.61,384.095,375.72
07/19/2023,385.65,54092960,386.82,387.98,384.30
07/18/2023,385.74,55343440,381.96,387.13,380.00
07/17/2023,382.61,40868920,379.80,383.50,379.31
07/14/2023,379.07,55148500,379.585,382.86,378.18
07/13/2023,379.15,46960010,376.05,379.99,375.46
07/12/2023,372.82,61703700,372.34,374.19,370.30
07/11/2023,368.17,38214150,366.79,368.632,364.62
07/10/2023,366.36,48498800,365.96,367.05,363.41
07/07/2023,366.24,47133750,367.23,370.48,366.01
07/06/2023,367.46,49374730,366.51,367.91,364.52
07/05/2023,370.28,34460880,368.695,372.01,368.66
07/03/2023,370.29,19379820,370.07,370.93,368.97
06/30/2023,369.42,58712500,367.55,370.49,367.23
06/29/2023,363.81,46150970,364.24,364.89,362.14
06/28/2023,364.54,46498030,361.98,366.52,361.9038
06/27/2023,363.83,49428090,359.25,364.57,358.51
06/26/2023,357.68,52685480,362.00,364.84,357.59
06/23/2023,362.54,48922910,362.21,364.88,360.8227
06/22/2023,366.17,47603040,360.63,366.33,360.22
06/21/2023,361.90,53378260,365.74,366.18,360.96
06/20/2023,366.90,49204720,365.95,368.32,363.8899
06/16/2023,367.93,80931970,372.72,372.85,367.48
06/15/2023,370.26,71138820,364.61,371.77,363.98
06/14/2023,365.90,69525640,363.27,366.19,360.42
06/13/2023,363.26,57097800,363.29,364.11,360.03
06/12/2023,360.49,44817650,356.19,360.59,355.20
